Name,Year,Count,Sex,Rank
Esme,2019,99,F,1
Sofia,2019,99,F,2
Erin,2019,98,F,3
Hallie,2019,97,F,4
Molly,2019,95,F,5
Ayla,2019,93,F,6
Emilia,2019,93,F,7
Layla,2019,93,F,8
Katie,2019,91,F,9
Sienna,2019,90,F,10
Alana,2019,9,F,11
Alexis,2019,9,F,12
Aliyah,2019,9,F,13
Amina,2019,9,F,14
Anaya,2019,9,F,15
Aya,2019,9,F,16
Ayesha,2019,9,F,17
Carla,2019,9,F,18
Claudia,2019,9,F,19
Demi,2019,9,F,20
Elara,2019,9,F,21
Ellie-Mae,2019,9,F,22
Elspeth,2019,9,F,23
Emelie,2019,9,F,24
Farah,2019,9,F,25
Hania,2019,9,F,26
Haniya,2019,9,F,27
Joy,2019,9,F,28
Kara,2019,9,F,29=
Kendall,2019,9,F,29=
Lacie,2019,9,F,29=
Lia,2019,9,F,32=
Marlie,2019,9,F,32=
Michaela,2019,9,F,34
Nyla,2019,9,F,35
Pixie,2019,9,F,36
Polly,2019,9,F,37
Pyper,2019,9,F,38
Wynter,2019,9,F,39
Yasmin,2019,9,F,40=
Niamh,2019,88,F,40=
Alice,2019,87,F,42
Amber,2019,86,F,43=
Bonnie,2019,82,F,43=
Maya,2019,82,F,45
Alayna,2019,8,F,46
Alicja,2019,8,F,47
Amira,2019,8,F,48=
Ava-Rose,2019,8,F,48=
Ayat,2019,8,F,48=
Camryn,2019,8,F,51
Carmen,2019,8,F,52
Carys,2019,8,F,53
Catriona,2019,8,F,54
Dani,2019,8,F,55
Darci,2019,8,F,56=
Eilish,2019,8,F,56=
Ferne,2019,8,F,58
Hali,2019,8,F,59=
Hareem,2019,8,F,59=
Harleigh,2019,8,F,61
Hayden,2019,8,F,62=
Jade,2019,8,F,62=
Juliet,2019,8,F,64
Kallie,2019,8,F,65
Karis,2019,8,F,66
Kayleigh,2019,8,F,67
Leona,2019,8,F,68
Lila,2019,8,F,69
Maisy,2019,8,F,70
Meghan,2019,8,F,71
Melanie,2019,8,F,72
Mirryn,2019,8,F,73
Nellie,2019,8,F,74=
Nuala,2019,8,F,74=
Pearl,2019,8,F,76
Rachael,2019,8,F,77
Rona,2019,8,F,78=
Rylee,2019,8,F,78=
Ryleigh,2019,8,F,80
Safa,2019,8,F,81
Siena,2019,8,F,82=
Skyler,2019,8,F,82=
Sydney,2019,8,F,84
Tara,2019,8,F,85=
Zarah,2019,8,F,85=
Zoe,2019,79,F,85=
Ada,2019,77,F,88
Hollie,2019,77,F,89
Bella,2019,76,F,90
Luna,2019,75,F,91
Thea,2019,75,F,92=
Rose,2019,74,F,92=
Abigail,2019,73,F,92=
Summer,2019,72,F,92=
Callie,2019,71,F,96
Aida,2019,7,F,97=
Aiza,2019,7,F,97=
Alaya,2019,7,F,97=
Alia,2019,7,F,100=
Alicia,2019,7,F,100=
