Name,Year,Count,Sex,Rank
Ryan,2019,98,M,1
Hamish,2019,97,M,2
Sonny,2019,96,M,3
Arlo,2019,94,M,4
Arran,2019,94,M,5
Cole,2019,94,M,6
Robert,2019,93,M,7
Blair,2019,91,M,8
Dylan,2019,91,M,9
Louie,2019,91,M,10
Ruaridh,2019,90,M,11
Ahmed,2019,9,M,12
Albert,2019,9,M,13
Archibald,2019,9,M,14
Aron,2019,9,M,15
Azaan,2019,9,M,16=
Bear,2019,9,M,16=
Beau,2019,9,M,18
Bodhi,2019,9,M,19
Brady,2019,9,M,20
Brandon,2019,9,M,21=
Cairn,2019,9,M,21=
Chester,2019,9,M,23
Clark,2019,9,M,24
Coen,2019,9,M,25
Damian,2019,9,M,26
Donald,2019,9,M,27
Drew,2019,9,M,28=
Fabian,2019,9,M,28=
Fletcher,2019,9,M,30
Hugh,2019,9,M,31
Jan,2019,9,M,32
Joe,2019,9,M,33
Kalvin,2019,9,M,34
Karter,2019,9,M,35
Kayson,2019,9,M,36
Leonard,2019,9,M,37
Lyall,2019,9,M,38
Mack,2019,9,M,39
Marley,2019,9,M,40
Marshall,2019,9,M,41
Micah,2019,9,M,42
Muhammed,2019,9,M,43
Nikolas,2019,9,M,44
Philip,2019,9,M,45
Rafael,2019,9,M,46
Stefan,2019,9,M,47
Stewart,2019,9,M,48
Torin,2019,9,M,49=
Will,2019,9,M,49=
Connor,2019,89,M,51
Benjamin,2019,88,M,52=
Kai,2019,88,M,52=
Michael,2019,87,M,54=
Jackson,2019,85,M,54=
Leon,2019,85,M,56
Cooper,2019,84,M,57
Louis,2019,82,M,58
Theodore,2019,81,M,59
Fraser,2019,80,M,60
Owen,2019,80,M,61
Reuben,2019,80,M,62=
Abdul,2019,8,M,62=
Ahmad,2019,8,M,62=
Amir,2019,8,M,65
Ari,2019,8,M,66=
Blaine,2019,8,M,66=
Bryce,2019,8,M,66=
Cade,2019,8,M,69
Casey,2019,8,M,70
Clayton,2019,8,M,71=
Denis,2019,8,M,71=
Eesa,2019,8,M,73
Eoin,2019,8,M,74=
Frank,2019,8,M,74=
Freddy,2019,8,M,76
Gary,2019,8,M,77
Glen,2019,8,M,78
Hamza,2019,8,M,79=
Hassan,2019,8,M,79=
Hector,2019,8,M,79=
Ismaeel,2019,8,M,82
Ivan,2019,8,M,83=
Ivar,2019,8,M,83=
Kenzie,2019,8,M,85=
Killian,2019,8,M,85=
Koby,2019,8,M,87
Kole,2019,8,M,88
Leighton,2019,8,M,89
Matteo,2019,8,M,90=
Mikolaj,2019,8,M,90=
Millar,2019,8,M,92=
Mitchell,2019,8,M,92=
Nolan,2019,8,M,94
Rayyan,2019,8,M,95=
Rogan,2019,8,M,95=
Saul,2019,8,M,97=
Syed,2019,8,M,97=
Tate,2019,8,M,99
John,2019,79,M,100
Carson,2019,77,M,101=
Innes,2019,77,M,101=
Elijah,2019,74,M,101=
Murray,2019,74,M,104=
Grayson,2019,73,M,104=
Ace,2019,7,M,106
Ajay,2019,7,M,107
Albi,2019,7,M,108=
Aydin,2019,7,M,108=
Borys,2019,7,M,108=
Brayden,2019,7,M,111=
Conan,2019,7,M,111=
Cory,2019,7,M,113=
Edan,2019,7,M,113=
Fynn,2019,7,M,113=
Gordon,2019,7,M,116=
Hughie,2019,7,M,116=
Ismail,2019,7,M,116=
Jaiden,2019,7,M,119=
Lenny,2019,7,M,119=
Lockie,2019,7,M,121=
Loki,2019,7,M,121=
Mackenzie,2019,7,M,121=
Malachy,2019,7,M,121=
Mohamed,2019,7,M,125=
Olivier,2019,7,M,125=
Otto,2019,7,M,125=
Ramsay,2019,7,M,128=
Rayan,2019,7,M,128=
Remy,2019,7,M,130=
Romeo,2019,7,M,130=
Sami,2019,7,M,130=
Sandy,2019,7,M,133=
Shae,2019,7,M,133=
Shane,2019,7,M,135
Stuart,2019,7,M,136=
Wyatt,2019,7,M,136=
Zakariya,2019,7,M,136=
Aiden,2019,69,M,136=
Aidan,2019,68,M,140
Cody,2019,67,M,141=
Elliot,2019,67,M,141=
Ben,2019,66,M,143=
Henry,2019,66,M,143=
Sam,2019,64,M,145=
Alex,2019,63,M,145=
Ellis,2019,63,M,145=
Gabriel,2019,61,M,145=
Jax,2019,61,M,145=
Callan,2019,60,M,145=
Alastair,2019,6,M,145=
Ally,2019,6,M,152
Anton,2019,6,M,153=
Avery,2019,6,M,153=
Ayan,2019,6,M,153=
Barclay,2019,6,M,153=
Bjorn,2019,6,M,157
Cayden,2019,6,M,158=
Colt,2019,6,M,158=
Corran,2019,6,M,158=
Dawid,2019,6,M,161=
Emmanuel,2019,6,M,161=
Forrest,2019,6,M,163=
Gavin,2019,6,M,163=
Grant,2019,6,M,163=
Hubert,2019,6,M,163=
Ignacy,2019,6,M,163=
Jaden,2019,6,M,163=
Jakob,2019,6,M,163=
Johnny,2019,6,M,163=
Justin,2019,6,M,171=
Kane,2019,6,M,171=
Kilian,2019,6,M,171=
Kodi,2019,6,M,171=
Korey,2019,6,M,175=
Kylo,2019,6,M,175=
Kyran,2019,6,M,175=
Lachlann,2019,6,M,175=
Maksymilian,2019,6,M,179=
Marc,2019,6,M,179=
Maximus,2019,6,M,179=
Niven,2019,6,M,179=
Noel,2019,6,M,183=
Odhran,2019,6,M,183=
Oisin,2019,6,M,183=
Ralphie,2019,6,M,183=
Ritchie,2019,6,M,187=
Roan,2019,6,M,187=
Roddy,2019,6,M,189=
Rueben,2019,6,M,189=
Rupert,2019,6,M,189=
Ryley,2019,6,M,189=
Santiago,2019,6,M,189=
Seamus,2019,6,M,194=
Simon,2019,6,M,194=
Stanislaw,2019,6,M,194=
Tymoteusz,2019,6,M,197=
Vinny,2019,6,M,197=
Walter,2019,6,M,197=
Wren,2019,6,M,197=
Yahya,2019,6,M,197=
Zain,2019,6,M,197=
Ruairidh,2019,59,M,197=
Frankie,2019,58,M,204=
Lachlan,2019,58,M,204=
Roman,2019,58,M,204=
Brody,2019,57,M,204=
Josh,2019,57,M,204=
Sebastian,2019,55,M,204=
Struan,2019,54,M,204=
Evan,2019,53,M,204=
Kyle,2019,53,M,204=
Myles,2019,53,M,204=
Calum,2019,52,M,204=
Lochlan,2019,52,M,204=
Jayden,2019,51,M,216=
Lyle,2019,51,M,216=
Robbie,2019,51,M,216=
Calvin,2019,50,M,219=
Corey,2019,50,M,219=
Jaxson,2019,50,M,219=
Ailbe,2019,5,M,219=
Anderson,2019,5,M,219=
Andy,2019,5,M,219=
Antonio,2019,5,M,225=
Aodhan,2019,5,M,225=
Arjan,2019,5,M,225=
Artur,2019,5,M,225=
Aryan,2019,5,M,225=
Ashley,2019,5,M,225=
August,2019,5,M,225=
Aulay,2019,5,M,225=
