col0,col1,col2,col3,col4,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
Year,Sex,Rank,Name,Count,,,,,,
1960,Female,1,SUSAN,3299,84.23,3.25,3.25,4.72,1.14,3.41
1960,Female,2,MARY,3248,76.21,12.54,2.78,0.58,1.23,6.66
1960,Female,3,KAREN,3156,81.44,4.43,4.11,(S),(S),7.06
1960,Female,4,CYNTHIA,2982,,,,,,
1960,Female,5,LISA,2839,85.96,3,2.35,(S),(S),7.47
1960,Female,6,LINDA,2807,77.32,9.11,3.44,(S),(S),8.25
1960,Female,7,DEBRA,2692,73.2,17.01,4.64,(S),(S),2.58
1960,Female,8,PATRICIA*,2668,,,,,,
1960,Female,9,DEBORAH,2490,73.17,21.95,(S),0,(S),(S)
1960,Female,10,SANDRA,2404,57.89,12.96,9.72,(S),(S),15.79
1960,Female,11,LAURA,2032,58.58,6.22,3.72,0.33,1.32,29.83
1960,Female,12,ELIZABET*,1905,,,,,,
1960,Female,13,PAMELA,1839,,,,,,
1960,Female,14,DONNA,1820,81.88,6.31,0.97,1.94,1.13,7.77
1960,Female,15,KATHLEEN*,1772,,,,,,
1960,Female,16,LORI,1746,90.5,2.18,1.39,(S),(S),4.95
1960,Female,17,KIMBERLY*,1710,,,,,,
1960,Female,18,TERESA,1709,51.5,4.89,3.76,0,1.88,37.97
1960,Female,19,JULIE,1665,74.16,11.8,(S),0,(S),10.67
1960,Female,20,CHERYL,1639,,,,,,
1960,Female,21,BARBARA,1605,78.7,8.84,1.88,0.4,1.44,8.74
1960,Female,22,NANCY,1569,54.55,22.42,6.67,(S),(S),15.15
1960,Female,23,DENISE,1501,81.62,9.99,(S),1.46,(S),5.19
1960,Female,24,CHRISTIN*,1410,,,,,,
1960,Female,25,CAROL,1322,76.88,12.67,1.25,1.18,1.6,6.41
1960,Male,1,MICHAEL,8770,83.59,8.88,1.95,0.67,1.85,3.06
1960,Male,2,DAVID,8033,59.45,14.86,13.85,1.73,2.52,7.59
1960,Male,3,ROBERT,6798,71.2,15.75,3.99,0.69,2.08,6.29
1960,Male,4,JOHN,6308,40.98,21.03,21.27,11.17,2.41,3.15
1960,Male,5,JAMES,5900,51.58,38.86,1.27,2.58,2.64,3.08
1960,Male,6,MARK,5389,64.91,15.44,11.34,2.52,2.53,3.26
1960,Male,7,RICHARD,4436,70.35,23.46,0.9,0.57,1.97,2.75
1960,Male,8,STEVEN,4310,70.76,17.07,1.77,2.72,1.73,5.96
1960,Male,9,WILLIAM,3943,35.2,53.62,4.2,1.05,2.38,3.56
1960,Male,10,DANIEL,3081,62.84,25.56,3.16,0.69,2.15,5.59
1960,Male,11,THOMAS,2978,52.63,38.75,2.44,1.07,2.58,2.54
1960,Male,12,JEFFREY,2940,76.72,16.58,0.94,0.38,2.14,3.25
1960,Male,13,TIMOTHY,2695,66.08,21.16,5.64,1.81,2.66,2.66
1960,Male,14,KENNETH,2563,55.7,17.56,4.75,14.72,2.06,5.22
1960,Male,15,RONALD,2477,83.4,7.79,3.79,0.61,0.92,3.48
1960,Male,16,KEVIN,2325,72.73,11.36,4.55,0,1.7,9.66
1960,Male,17,GREGORY,2266,78.64,15.56,0.57,0.75,1.99,2.49
1960,Male,18,JOSEPH,2178,29.59,54.19,9.76,0.99,2.49,2.98
1960,Male,19,CHARLES,2172,33.69,52.96,1.01,2.07,2.37,7.9
1960,Male,20,DONALD,2162,52.03,41.74,0.68,0.99,2.6,1.96
1960,Male,21,PAUL,2136,66.99,20.13,6.25,2.05,1.92,2.67
1960,Male,22,BRIAN,1968,82.94,6.64,2.25,1.23,2.18,4.75
1960,Male,23,CHRISTOP*,1951,,,,,,
1960,Male,24,ANTHONY,1906,59.82,31.93,1.53,0.62,2.29,3.82
1960,Male,25,SCOTT,1893,60.21,32.92,0.51,1.18,2.59,2.58
1961,Female,1,LISA,3497,85.96,3,2.35,(S),(S),7.47
1961,Female,2,SUSAN,3221,84.23,3.25,3.25,4.72,1.14,3.41
1961,Female,3,KAREN,2985,81.44,4.43,4.11,(S),(S),7.06
1961,Female,4,MARY,2973,76.21,12.54,2.78,0.58,1.23,6.66
1961,Female,5,CYNTHIA,2832,,,,,,
1961,Female,6,LINDA,2674,77.32,9.11,3.44,(S),(S),8.25
1961,Female,7,PATRICIA*,2522,,,,,,
1961,Female,8,DEBORAH,2495,73.17,21.95,(S),0,(S),(S)
1961,Female,9,SANDRA,2483,57.89,12.96,9.72,(S),(S),15.79
1961,Female,10,DEBRA,2211,73.2,17.01,4.64,(S),(S),2.58
1961,Female,11,LAURA,2073,58.58,6.22,3.72,0.33,1.32,29.83
1961,Female,12,ELIZABET*,2043,,,,,,
1961,Female,13,JULIE,1895,74.16,11.8,(S),0,(S),10.67
1961,Female,14,LORI,1881,90.5,2.18,1.39,(S),(S),4.95
1961,Female,15,KIMBERLY*,1850,,,,,,
1961,Female,16,KATHLEEN*,1842,,,,,,
1961,Female,17,PAMELA,1778,,,,,,
1961,Female,18,TERESA,1690,51.5,4.89,3.76,0,1.88,37.97
1961,Female,19,DONNA,1639,81.88,6.31,0.97,1.94,1.13,7.77
1961,Female,20,CHRISTIN*,1628,,,,,,
1961,Female,21,CHERYL,1582,,,,,,
1961,Female,22,DENISE,1532,81.62,9.99,(S),1.46,(S),5.19
