Year,Sex,Rank,Name,Count
1974,Male,24,AARON,1258
2011,Male,25,AARON,1530
2013,Male,25,AARON,1519
2014,Male,21,AARON,1649
2016,Male,22,AARON,1556
2017,Male,18,AARON,1528
2003,Female,22,ABIGAIL,1264
2004,Female,17,ABIGAIL,1318
2005,Female,15,ABIGAIL,1372
2006,Female,9,ABIGAIL,1477
2007,Female,13,ABIGAIL,1432
2008,Female,9,ABIGAIL,1570
2009,Female,9,ABIGAIL,1552
2010,Female,8,ABIGAIL,1617
2011,Female,8,ABIGAIL,1556
2012,Female,8,ABIGAIL,1642
2013,Female,8,ABIGAIL,1490
2014,Female,9,ABIGAIL,1524
2015,Female,8,ABIGAIL,1764
2016,Female,10,ABIGAIL,1586
2017,Female,9,ABIGAIL,1544
2018,Female,12,ABIGAIL,1376
2019,Female,12,ABIGAIL,1298
2020,Female,14,ABIGAIL,1067
2021,Female,19,ABIGAIL,926
1984,Male,24,ADAM,2064
2006,Male,19,ADRIAN,2108
2007,Male,18,ADRIAN,2150
2008,Male,18,ADRIAN,2140
2009,Male,16,ADRIAN,2099
2010,Male,17,ADRIAN,1964
2011,Male,20,ADRIAN,1810
2012,Male,18,ADRIAN,1787
2013,Male,20,ADRIAN,1677
2014,Male,24,ADRIAN,1576
2015,Male,24,ADRIAN,1517
2020,Male,23,ADRIAN,1093
2021,Male,25,ADRIAN,1067
2009,Male,21,AIDEN,1803
2010,Male,19,AIDEN,1935
2011,Male,16,AIDEN,1903
2012,Male,13,AIDEN,1982
2013,Male,16,AIDEN,1761
2014,Male,15,AIDEN,1867
2015,Male,12,AIDEN,1896
2016,Male,14,AIDEN,1748
2017,Male,15,AIDEN,1632
2018,Male,15,AIDEN,1479
2019,Male,16,AIDEN,1405
2020,Male,15,AIDEN,1273
2021,Male,15,AIDEN,1241
2006,Female,19,ALEXA,1241
2007,Female,24,ALEXA,1158
2009,Female,22,ALEXA,1026
2010,Female,21,ALEXA,991
2011,Female,24,ALEXA,905
2013,Female,24,ALEXA,824
2015,Female,11,ALEXA,1435
2016,Female,17,ALEXA,1025
1988,Male,23,ALEXANDER,2266
1989,Male,22,ALEXANDER,2304
1990,Male,23,ALEXANDER,2536
1991,Male,20,ALEXANDER,2722
1992,Male,18,ALEXANDER,2811
1993,Male,16,ALEXANDER,2793
1994,Male,18,ALEXANDER,2552
1995,Male,19,ALEXANDER,2453
1996,Male,19,ALEXANDER,2258
1997,Male,20,ALEXANDER,2162
1998,Male,19,ALEXANDER,2228
1999,Male,20,ALEXANDER,2226
2000,Male,21,ALEXANDER,2173
2001,Male,21,ALEXANDER,2065
2002,Male,14,ALEXANDER,2382
2003,Male,15,ALEXANDER,2365
2004,Male,14,ALEXANDER,2446
2005,Male,14,ALEXANDER,2448
2006,Male,14,ALEXANDER,2487
2007,Male,11,ALEXANDER,2599
2008,Male,6,ALEXANDER,2865
2009,Male,5,ALEXANDER,2875
2010,Male,4,ALEXANDER,2593
2011,Male,6,ALEXANDER,2454
2012,Male,7,ALEXANDER,2415
2013,Male,7,ALEXANDER,2374
2014,Male,5,ALEXANDER,2485
2015,Male,6,ALEXANDER,2304
2016,Male,7,ALEXANDER,2218
2017,Male,9,ALEXANDER,1998
2018,Male,8,ALEXANDER,1908
2019,Male,7,ALEXANDER,1838
2020,Male,9,ALEXANDER,1591
2021,Male,9,ALEXANDER,1495
1991,Female,25,ALEXANDRA,1457
1992,Female,23,ALEXANDRA,1463
1993,Female,19,ALEXANDRA,1559
1995,Female,24,ALEXANDRA,1343
1994,Female,19,ALEXIS,1497
1995,Female,14,ALEXIS,1635
1996,Female,11,ALEXIS,1826
1997,Female,10,ALEXIS,1883
1998,Female,7,ALEXIS,2022
1999,Female,7,ALEXIS,1966
2000,Female,10,ALEXIS,1825
2001,Female,9,ALEXIS,1662
2002,Female,11,ALEXIS,1581
2003,Female,12,ALEXIS,1549
2004,Female,15,ALEXIS,1437
2005,Female,21,ALEXIS,1204
2009,Female,24,ALEXIS,980
2014,Female,24,ALLISON,905
2015,Female,24,ALLISON,902
1990,Female,20,ALYSSA,1630
1993,Female,24,ALYSSA,1467
1994,Female,24,ALYSSA,1421
1995,Female,23,ALYSSA,1345
1996,Female,16,ALYSSA,1545
1997,Female,13,ALYSSA,1725
1998,Female,9,ALYSSA,1953
1999,Female,6,ALYSSA,2067
2000,Female,6,ALYSSA,2003
2001,Female,5,ALYSSA,2051
2002,Female,7,ALYSSA,1869
2003,Female,5,ALYSSA,1920
2004,Female,6,ALYSSA,1806
2005,Female,9,ALYSSA,1617
2006,Female,13,ALYSSA,1398
2007,Female,9,ALYSSA,1556
2008,Female,15,ALYSSA,1357
2009,Female,17,ALYSSA,1204
2010,Female,17,ALYSSA,1065
2011,Female,20,ALYSSA,932
1976,Female,23,AMANDA,958
1977,Female,22,AMANDA,1092
1978,Female,18,AMANDA,1175
1979,Female,12,AMANDA,1585
1980,Female,10,AMANDA,1871
1981,Female,9,AMANDA,2106
1982,Female,8,AMANDA,2249
1983,Female,11,AMANDA,2239
1984,Female,8,AMANDA,2299
1985,Female,4,AMANDA,3180
1986,Female,4,AMANDA,3503
1987,Female,4,AMANDA,3902
1988,Female,4,AMANDA,3818
1989,Female,3,AMANDA,3809
